# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2010-10-07 01:06:06 EDT       (vaww01)
#
# Data for the following site(s) are contained in this file
#    USGS 04015330 KNIFE RIVER NEAR TWO HARBORS, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04015330
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     Ice  Ice affected  
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
5s	15s	16d	14n	10s
USGS	04015330	2003-01-01	4.3	Ae
USGS	04015330	2003-01-02	4.0	Ae
USGS	04015330	2003-01-03	3.7	Ae
USGS	04015330	2003-01-04	3.5	Ae
USGS	04015330	2003-01-05	3.4	Ae
USGS	04015330	2003-01-06	3.2	Ae
USGS	04015330	2003-01-07	2.9	Ae
USGS	04015330	2003-01-08	2.7	Ae
USGS	04015330	2003-01-09	2.6	Ae
USGS	04015330	2003-01-10	2.5	Ae
USGS	04015330	2003-01-11	2.2	Ae
USGS	04015330	2003-01-12	1.7	Ae
USGS	04015330	2003-01-13	1.0	Ae
USGS	04015330	2003-01-14	0.70	Ae
USGS	04015330	2003-01-15	0.20	Ae
USGS	04015330	2003-01-16	0.05	Ae
USGS	04015330	2003-01-17	0.00	Ae
USGS	04015330	2003-01-18	0.00	Ae
USGS	04015330	2003-01-19	0.00	Ae
USGS	04015330	2003-01-20	0.10	Ae
USGS	04015330	2003-01-21	0.05	Ae
USGS	04015330	2003-01-22	0.00	Ae
USGS	04015330	2003-01-23	0.00	Ae
USGS	04015330	2003-01-24	0.00	Ae
USGS	04015330	2003-01-25	0.00	Ae
USGS	04015330	2003-01-26	0.00	Ae
USGS	04015330	2003-01-27	0.00	A
USGS	04015330	2003-01-28	0.00	A
USGS	04015330	2003-01-29	0.00	A
USGS	04015330	2003-01-30	0.00	A
USGS	04015330	2003-01-31	0.00	A
USGS	04015330	2003-02-01	0.00	A
USGS	04015330	2003-02-02	0.00	A
USGS	04015330	2003-02-03	0.00	Ae
USGS	04015330	2003-02-04	0.00	Ae
USGS	04015330	2003-02-05	0.00	Ae
USGS	04015330	2003-02-06	0.00	Ae
USGS	04015330	2003-02-07	0.00	Ae
USGS	04015330	2003-02-08	0.00	Ae
USGS	04015330	2003-02-09	0.00	Ae
USGS	04015330	2003-02-10	0.00	Ae
USGS	04015330	2003-02-11	0.00	Ae
USGS	04015330	2003-02-12	0.00	A
USGS	04015330	2003-02-13	0.00	A
USGS	04015330	2003-02-14	0.00	A
USGS	04015330	2003-02-15	0.00	A
USGS	04015330	2003-02-16	0.00	A
USGS	04015330	2003-02-17	0.00	A
USGS	04015330	2003-02-18	0.00	A
USGS	04015330	2003-02-19	0.00	A
USGS	04015330	2003-02-20	0.00	A
USGS	04015330	2003-02-21	0.00	A
USGS	04015330	2003-02-22	0.00	A
USGS	04015330	2003-02-23	0.00	A
USGS	04015330	2003-02-24	0.00	A
USGS	04015330	2003-02-25	0.00	A
USGS	04015330	2003-02-26	0.00	A
USGS	04015330	2003-02-27	0.00	A
USGS	04015330	2003-02-28	0.00	A
USGS	04015330	2003-03-01	0.00	A
USGS	04015330	2003-03-02	0.00	A
USGS	04015330	2003-03-03	0.00	A
USGS	04015330	2003-03-04	0.00	A
USGS	04015330	2003-03-05	0.00	A
USGS	04015330	2003-03-06	0.00	A
USGS	04015330	2003-03-07	0.00	A
USGS	04015330	2003-03-08	0.00	A
USGS	04015330	2003-03-09	0.00	A
USGS	04015330	2003-03-10	0.00	A
USGS	04015330	2003-03-11	0.00	A
USGS	04015330	2003-03-12	0.00	A
USGS	04015330	2003-03-13	0.00	A
USGS	04015330	2003-03-14	0.01	Ae
USGS	04015330	2003-03-15	0.05	Ae
USGS	04015330	2003-03-16	0.60	Ae
USGS	04015330	2003-03-17	4.0	Ae
USGS	04015330	2003-03-18	21	Ae
USGS	04015330	2003-03-19	50	Ae
USGS	04015330	2003-03-20	150	Ae
USGS	04015330	2003-03-21	260	Ae
USGS	04015330	2003-03-22	370	Ae
USGS	04015330	2003-03-23	500	Ae
USGS	04015330	2003-03-24	300	Ae
USGS	04015330	2003-03-25	170	Ae
USGS	04015330	2003-03-26	126	Ae
USGS	04015330	2003-03-27	60	Ae
USGS	04015330	2003-03-28	18	Ae
USGS	04015330	2003-03-29	22	Ae
USGS	04015330	2003-03-30	23	Ae
USGS	04015330	2003-03-31	22	Ae
USGS	04015330	2003-04-01	21	Ae
USGS	04015330	2003-04-02	25	Ae
USGS	04015330	2003-04-03	29	Ae
USGS	04015330	2003-04-04	70	Ae
USGS	04015330	2003-04-05	170	Ae
USGS	04015330	2003-04-06	400	Ae
USGS	04015330	2003-04-07	530	Ae
USGS	04015330	2003-04-08	852	A
USGS	04015330	2003-04-09	1070	A
USGS	04015330	2003-04-10	1280	A
USGS	04015330	2003-04-11	749	A
USGS	04015330	2003-04-12	463	A
USGS	04015330	2003-04-13	218	A
USGS	04015330	2003-04-14	216	A
USGS	04015330	2003-04-15	212	A
USGS	04015330	2003-04-16	125	A
USGS	04015330	2003-04-17	78	A
USGS	04015330	2003-04-18	84	A
USGS	04015330	2003-04-19	397	A
USGS	04015330	2003-04-20	521	A
USGS	04015330	2003-04-21	660	A
USGS	04015330	2003-04-22	329	A
USGS	04015330	2003-04-23	169	A
USGS	04015330	2003-04-24	126	A
USGS	04015330	2003-04-25	110	A
USGS	04015330	2003-04-26	89	A
USGS	04015330	2003-04-27	83	A
USGS	04015330	2003-04-28	84	A
USGS	04015330	2003-04-29	79	A
USGS	04015330	2003-04-30	67	A
USGS	04015330	2003-05-01	60	A
USGS	04015330	2003-05-02	60	A
USGS	04015330	2003-05-03	49	A
USGS	04015330	2003-05-04	44	A
USGS	04015330	2003-05-05	43	A
USGS	04015330	2003-05-06	44	A
USGS	04015330	2003-05-07	45	A
USGS	04015330	2003-05-08	45	A
USGS	04015330	2003-05-09	471	A
USGS	04015330	2003-05-10	753	A
USGS	04015330	2003-05-11	401	A
USGS	04015330	2003-05-12	221	A
USGS	04015330	2003-05-13	142	A
USGS	04015330	2003-05-14	110	A
USGS	04015330	2003-05-15	89	A
USGS	04015330	2003-05-16	75	A
USGS	04015330	2003-05-17	64	A
USGS	04015330	2003-05-18	57	A
USGS	04015330	2003-05-19	402	A
USGS	04015330	2003-05-20	631	A
USGS	04015330	2003-05-21	265	A
USGS	04015330	2003-05-22	164	A
USGS	04015330	2003-05-23	238	A
USGS	04015330	2003-05-24	155	A
USGS	04015330	2003-05-25	113	A
USGS	04015330	2003-05-26	87	A
USGS	04015330	2003-05-27	69	A
USGS	04015330	2003-05-28	63	A
USGS	04015330	2003-05-29	64	A
USGS	04015330	2003-05-30	57	A
USGS	04015330	2003-05-31	59	A
USGS	04015330	2003-06-01	51	A
USGS	04015330	2003-06-02	42	A
USGS	04015330	2003-06-03	35	A
USGS	04015330	2003-06-04	30	A
USGS	04015330	2003-06-05	25	A
USGS	04015330	2003-06-06	23	A
USGS	04015330	2003-06-07	23	A
USGS	04015330	2003-06-08	22	A
USGS	04015330	2003-06-09	30	A
USGS	04015330	2003-06-10	56	A
USGS	04015330	2003-06-11	117	A
USGS	04015330	2003-06-12	78	A
USGS	04015330	2003-06-13	56	A
USGS	04015330	2003-06-14	40	A
USGS	04015330	2003-06-15	30	A
USGS	04015330	2003-06-16	28	A
USGS	04015330	2003-06-17	24	A
USGS	04015330	2003-06-18	20	A
USGS	04015330	2003-06-19	17	A
USGS	04015330	2003-06-20	14	A
USGS	04015330	2003-06-21	12	A
USGS	04015330	2003-06-22	11	A
USGS	04015330	2003-06-23	21	A
USGS	04015330	2003-06-24	35	A
