Site,Timestamp,Spec Conductance,Water Temp. (C),Samp Discharge (cfs),Trans (tube),Rec. Suitability,pH,Turb (NTU),DO (mg/L),TSS (mg/L),TVS (mg/L),Perception
02026001,2003-10-30 01:00:00,,,,,,,2.60000,,1.00000,,
02026001,2003-09-18 23:01:00,,,,,,,7.40000,,5.00000,,
02026001,2003-09-21 23:01:00,,,,,,,3.70000,,1.00000,,
02026001,2003-10-01 23:01:00,,,,,,,1.40000,,1.00000,,
02026001,2004-04-02 14:00:00,,,,,,,50.00000,,59.00000,,
02026001,2004-04-19 12:30:00,,,,,,,77.00000,,84.00000,,
02026001,2004-04-21 13:18:00,,,,,,,20.00000,,16.00000,,
02026001,2004-05-06 12:19:00,,,,,,,7.30000,,1.00000,,
02026001,2004-05-13 11:17:00,,,,,,,6.40000,,2.00000,,
02026001,2004-05-24 10:00:00,,,112.00000,,,,15.00000,,3.00000,,
02026001,2004-05-27 10:15:00,,,103.00000,,,,17.00000,,5.00000,,
02026001,2004-06-01 10:42:00,,,716.00000,,,,53.00000,,45.00000,,
02026001,2004-06-09 10:25:00,,,176.00000,,,,31.00000,,9.00000,,
02026001,2004-06-23 23:01:00,156.00000,12.75000,,100.00000,,8.17000,0.90000,10.44000,6.00000,,
02026001,2004-07-08 10:00:00,180.00000,18.02000,,100.00000,,8.54000,3.60000,9.49000,1.00000,,
02026001,2004-07-12 13:45:00,,,,,,,25.00000,,5.00000,,
02026001,2004-07-22 10:20:00,186.00000,22.07000,,100.00000,,7.79000,2.60000,9.42000,2.00000,,
02026001,2004-07-30 13:45:00,,,,,,,2.80000,,2.00000,,
02026001,2004-08-04 09:00:00,168.00000,18.94000,,100.00000,,8.23000,1.00000,9.42000,2.00000,,
02026001,2004-08-18 09:30:00,190.00000,18.41000,,100.00000,,8.17000,1.70000,8.40000,2.00000,,
02026001,2004-08-26 14:00:00,199.00000,19.26000,,95.00000,,8.12000,10.00000,9.51000,5.00000,,
02026001,2004-09-09 09:45:00,153.00000,14.99000,,100.00000,,8.28000,10.00000,10.53000,2.00000,,
02026001,2004-09-16 09:30:00,,,,,,,51.00000,,15.00000,,
02026001,2004-09-23 14:00:00,138.00000,17.43000,,,,,27.00000,9.96000,2.00000,,
02026001,2004-10-07 11:15:00,135.00000,11.80000,,,,8.11000,12.00000,10.87000,1.00000,,
02026001,2004-10-21 09:20:00,,,,,,,6.20000,,1.00000,,
02026001,2005-04-03 12:40:00,89.00000,9.78000,,35.00000,,7.59000,51.00000,11.02000,12.00000,,
02026001,2005-04-20 11:55:00,87.00000,10.94000,,40.00000,,7.80000,28.00000,11.22000,11.00000,,
02026001,2005-04-21 14:40:00,120.00000,7.81000,,43.00000,,7.93000,18.00000,12.15000,7.00000,,
02026001,2005-05-04 23:01:00,120.00000,7.81000,,55.00000,,7.93000,7.90000,12.15000,1.00000,,
02026001,2005-05-17 07:50:00,117.00000,8.97000,,70.00000,,7.70000,15.00000,11.32000,3.00000,,
02026001,2005-05-19 07:40:00,,,,,,,55.00000,,86.00000,,
02026001,2005-05-26 08:40:00,95.00000,11.48000,,7.00000,,7.39000,73.00000,10.79000,58.00000,,
02026001,2005-05-31 08:00:00,105.00000,13.64000,,,,7.83000,14.00000,10.73000,5.00000,,
02026001,2005-06-14 13:20:00,77.00000,14.34000,,,,7.54000,140.00000,10.13000,155.00000,,
02026001,2005-06-28 08:05:00,156.00000,20.87000,,100.00000,,7.91000,3.50000,9.21000,2.00000,,
02026001,2005-06-30 08:15:00,133.00000,15.06000,,7.50000,,8.04000,100.00000,9.43000,86.00000,,
02026001,2005-07-11 07:30:00,,,,100.00000,,,2.90000,,2.00000,,
02026001,2005-07-25 07:40:00,200.00000,21.46000,,100.00000,,7.92000,1.00000,8.67000,1.00000,,
02026001,2005-07-26 23:01:00,198.00000,18.26000,,100.00000,,7.93000,,9.52000,,,
02026001,2005-08-09 09:00:00,218.00000,22.27000,,100.00000,,7.88000,1.50000,7.52000,1.00000,,
02026001,2005-08-16 08:00:00,217.00000,18.15000,,,,8.11000,,,,,
02026001,2005-08-22 09:30:00,219.00000,18.25000,,100.00000,,8.42000,,9.64000,,,
02026001,2005-08-30 07:45:00,221.00000,15.58000,,100.00000,,8.08000,1.30000,9.85000,1.00000,,
02026001,2005-09-12 08:10:00,210.00000,20.41000,,100.00000,,7.96000,,,,,
02026001,2005-09-21 08:10:00,182.00000,14.33000,,80.00000,,8.04000,6.10000,10.59000,3.00000,,
02026001,2005-10-05 09:05:00,148.00000,11.19000,,7.00000,,7.40000,160.00000,10.58000,133.00000,,
02026001,2005-10-18 08:36:00,148.00000,6.94000,,66.00000,,7.06000,,12.16000,,,
02026001,2005-10-27 08:45:00,157.00000,3.65000,,92.00000,,7.66000,6.20000,13.76000,2.00000,,
02026001,2006-04-12 13:00:00,,,,,,,28.00000,,26.00000,3.00000,
02026001,2006-04-25 08:20:00,101.00000,5.53000,,,,7.58000,15.00000,,3.00000,2.00000,
02026001,2006-05-09 08:00:00,83.00000,10.14000,,,,7.42000,73.00000,,68.00000,8.00000,
02026001,2006-05-23 12:30:00,88.00000,15.92000,,,,7.74000,7.70000,,2.00000,2.00000,
02026001,2006-06-06 11:10:00,158.00000,19.62000,,,,7.81000,4.60000,,3.00000,1.00000,
02026001,2006-06-21 09:00:00,147.00000,18.53000,,,,7.79000,5.70000,,2.00000,2.00000,
02026001,2006-06-28 08:10:00,172.00000,17.92000,,,,8.01000,,,,,
02026001,2006-07-05 11:45:00,201.00000,22.85000,,,,8.38000,2.20000,,2.00000,1.00000,
02026001,2006-07-20 09:00:00,232.00000,22.56000,,,,8.17000,1.30000,,1.00000,1.00000,
02026001,2006-08-09 12:30:00,186.00000,24.72000,,,,8.47000,3.00000,,2.00000,1.00000,
02026001,2006-08-22 12:30:00,218.00000,22.56000,,,,8.43000,2.30000,,1.00000,1.00000,
02026001,2006-08-29 10:16:00,219.00000,17.96000,,,,8.21000,,,,,
02026001,2006-09-06 12:43:00,225.00000,20.52000,,,,8.56000,0.90000,,1.00000,0.80000,
02026001,2006-09-12 08:00:00,228.00000,13.10000,,,,8.22000,,,,,
02026001,2006-09-21 13:30:00,,,,,,,1.00000,,1.00000,1.00000,
02026001,2006-10-02 13:30:00,,,,,,,1.50000,,1.00000,1.00000,
02026001,2006-10-10 12:34:00,203.00000,9.36000,,,,8.04000,,,,,
02026001,2006-10-17 11:30:00,19.00000,7.46000,,,,7.89000,4.20000,,2.00000,1.00000,
02026001,2006-10-27 13:11:00,183.00000,4.15000,,,,7.58000,3.40000,,1.00000,1.00000,
02026001,2009-07-02 14:30:00,,,,60.00000,2.00000,,,,,,1.00000
02026001,2009-07-23 17:30:00,,,,60.00000,1.00000,,,,,,1.00000
02026001,2009-08-13 19:00:00,,,,60.00000,1.00000,,,,,,1.00000
02026001,2009-09-01 16:30:00,,,,60.00000,2.00000,,,,,,1.00000
02026001,2009-09-23 15:35:00,,,,60.00000,2.00000,,,,,,1.00000
